TimeBlock,Airport,City,State,FlightCount,AvgDelay,CancellationRate,Latitude,Longitude
0001-0559,ATL,"Atlanta, GA",GA,74,9.31081081081081,0.0,33.6407,-84.4277
0001-0559,BOS,"Boston, MA",MA,182,5.724137931034483,0.04395604395604396,42.3656,-71.0096
0001-0559,BWI,"Baltimore, MD",MD,64,9.171875,0.0,39.1774,-76.6684
0001-0559,CLT,"Charlotte, NC",NC,56,6.0,0.017857142857142856,35.2144,-80.9473
0001-0559,DEN,"Denver, CO",CO,415,9.71078431372549,0.016867469879518072,39.8561,-104.6737
0001-0559,DFW,"Dallas/Fort Worth, TX",TX,336,16.584097859327215,0.026785714285714284,32.8998,-97.0403
0001-0559,DTW,"Detroit, MI",MI,156,7.771812080536913,0.04487179487179487,42.2162,-83.3554
0001-0559,EWR,"Newark, NJ",NJ,107,4.041237113402062,0.09345794392523364,40.6895,-74.1745
0001-0559,FLL,"Fort Lauderdale, FL",FL,68,14.823529411764707,0.0,26.0742,-80.1506
0001-0559,IAH,"Houston, TX",TX,206,9.257575757575758,0.038834951456310676,29.9902,-95.3368
0001-0559,LAS,"Las Vegas, NV",NV,443,7.818181818181818,0.006772009029345372,36.084,-115.1537
0001-0559,LAX,"Los Angeles, CA",CA,299,12.163120567375886,0.056856187290969896,33.9416,-118.4085
0001-0559,LGA,"New York, NY",NY,58,4.732142857142857,0.034482758620689655,40.7769,-73.874
0001-0559,MCO,"Orlando, FL",FL,210,7.937799043062201,0.004761904761904762,28.4312,-81.3081
0001-0559,MIA,"Miami, FL",FL,84,23.654761904761905,0.0,25.7959,-80.287
0001-0559,MSP,"Minneapolis, MN",MN,108,5.176470588235294,0.05555555555555555,44.8848,-93.2223
0001-0559,ORD,"Chicago, IL",IL,182,14.023668639053254,0.07142857142857142,41.9742,-87.9073
0001-0559,PHL,"Philadelphia, PA",PA,210,9.196172248803828,0.004761904761904762,39.8729,-75.2437
0001-0559,PHX,"Phoenix, AZ",AZ,268,9.140684410646388,0.018656716417910446,33.4352,-112.0101
0001-0559,SEA,"Seattle, WA",WA,158,10.74,0.05063291139240506,47.4502,-122.3088
0600-0659,ATL,"Atlanta, GA",GA,555,10.063868613138686,0.012612612612612612,33.6407,-84.4277
0600-0659,BOS,"Boston, MA",MA,501,7.186974789915967,0.0499001996007984,42.3656,-71.0096
0600-0659,BWI,"Baltimore, MD",MD,684,11.812982998454405,0.054093567251461985,39.1774,-76.6684
0600-0659,CLT,"Charlotte, NC",NC,274,10.770676691729323,0.029197080291970802,35.2144,-80.9473
0600-0659,DEN,"Denver, CO",CO,941,8.46843853820598,0.04144527098831031,39.8561,-104.6737
0600-0659,DFW,"Dallas/Fort Worth, TX",TX,261,13.167315175097276,0.01532567049808429,32.8998,-97.0403
0600-0659,DTW,"Detroit, MI",MI,283,11.615384615384615,0.0353356890459364,42.2162,-83.3554
0600-0659,EWR,"Newark, NJ",NJ,688,9.434049079754601,0.05232558139534884,40.6895,-74.1745
0600-0659,FLL,"Fort Lauderdale, FL",FL,478,5.383966244725738,0.008368200836820083,26.0742,-80.1506
0600-0659,IAH,"Houston, TX",TX,298,11.737201365187714,0.020134228187919462,29.9902,-95.3368
0600-0659,LAS,"Las Vegas, NV",NV,1076,3.3053949903660884,0.03531598513011153,36.084,-115.1537
0600-0659,LAX,"Los Angeles, CA",CA,582,2.857638888888889,0.010309278350515464,33.9416,-118.4085
0600-0659,LGA,"New York, NY",NY,679,10.3890625,0.05891016200294551,40.7769,-73.874
0600-0659,MCO,"Orlando, FL",FL,831,6.704207920792079,0.027677496991576414,28.4312,-81.3081
0600-0659,MIA,"Miami, FL",FL,336,7.2317073170731705,0.026785714285714284,25.7959,-80.287
0600-0659,MSP,"Minneapolis, MN",MN,158,4.7105263157894735,0.0379746835443038,44.8848,-93.2223
0600-0659,ORD,"Chicago, IL",IL,387,14.717808219178082,0.056847545219638244,41.9742,-87.9073
0600-0659,PHL,"Philadelphia, PA",PA,413,14.93643031784841,0.014527845036319613,39.8729,-75.2437
0600-0659,PHX,"Phoenix, AZ",AZ,665,3.4305772230889238,0.03609022556390978,33.4352,-112.0101
0600-0659,SEA,"Seattle, WA",WA,385,10.228947368421053,0.012987012987012988,47.4502,-122.3088
0700-0759,ATL,"Atlanta, GA",GA,756,7.352,0.009259259259259259,33.6407,-84.4277
0700-0759,BOS,"Boston, MA",MA,784,11.193377483443708,0.039540816326530615,42.3656,-71.0096
0700-0759,BWI,"Baltimore, MD",MD,300,9.476363636363637,0.08333333333333333,39.1774,-76.6684
0700-0759,CLT,"Charlotte, NC",NC,525,9.400386847195358,0.015238095238095238,35.2144,-80.9473
0700-0759,DEN,"Denver, CO",CO,1152,10.60431654676259,0.035590277777777776,39.8561,-104.6737
0700-0759,DFW,"Dallas/Fort Worth, TX",TX,493,14.608163265306123,0.006085192697768763,32.8998,-97.0403
0700-0759,DTW,"Detroit, MI",MI,387,13.005305039787798,0.025839793281653745,42.2162,-83.3554
0700-0759,EWR,"Newark, NJ",NJ,818,10.38126649076517,0.0745721271393643,40.6895,-74.1745
0700-0759,FLL,"Fort Lauderdale, FL",FL,657,9.826771653543307,0.0334855403348554,26.0742,-80.1506
0700-0759,IAH,"Houston, TX",TX,996,9.892553191489363,0.05622489959839357,29.9902,-95.3368
0700-0759,LAS,"Las Vegas, NV",NV,795,8.43021766965429,0.018867924528301886,36.084,-115.1537
0700-0759,LAX,"Los Angeles, CA",CA,753,6.444594594594594,0.017264276228419653,33.9416,-118.4085
0700-0759,LGA,"New York, NY",NY,661,6.3046875,0.03328290468986384,40.7769,-73.874
0700-0759,MCO,"Orlando, FL",FL,801,5.420645161290323,0.03245942571785269,28.4312,-81.3081
0700-0759,MIA,"Miami, FL",FL,399,9.358778625954198,0.015037593984962405,25.7959,-80.287
0700-0759,MSP,"Minneapolis, MN",MN,629,8.2192,0.006359300476947536,44.8848,-93.2223
