Day,Airline,FlightCount,AvgDepDelay,AvgArrDelay,CancelledCount,CancellationRate,TotalDistance,CumulativeFlights,OnTimeRate
1,American Airlines,559,15.779964221824686,15.076923076923077,0,0.0,631242,559,83.36314847942755
2,American Airlines,586,13.275213675213676,13.377777777777778,1,0.17064846416382254,650074,1145,79.65811965811966
3,American Airlines,579,22.38860103626943,21.899827288428323,0,0.0,643434,1724,76.3385146804836
4,American Airlines,518,13.998069498069498,12.691119691119692,0,0.0,596535,2242,84.94208494208493
5,American Airlines,520,15.638461538461538,16.190384615384616,0,0.0,596431,2762,82.3076923076923
6,American Airlines,539,23.823091247672252,26.109869646182496,2,0.3710575139146568,608558,3301,67.41154562383612
7,American Airlines,585,21.52061855670103,22.09450171821306,3,0.5128205128205128,645168,3886,72.33676975945016
8,American Airlines,544,27.74074074074074,32.12267657992565,6,1.1029411764705883,595768,4430,58.921933085501855
9,American Airlines,513,46.69617706237425,53.73319755600814,22,4.28849902534113,570973,4943,44.602851323828915
10,American Airlines,533,21.57471264367816,20.038314176245212,11,2.0637898686679175,588345,5476,72.41379310344827
11,American Airlines,564,14.682624113475176,16.879432624113477,0,0.0,619121,6040,73.58156028368793
12,American Airlines,560,42.00374531835206,45.63789868667917,27,4.821428571428572,616839,6600,46.71669793621013
13,American Airlines,491,30.829473684210527,32.46736842105263,16,3.2586558044806515,557682,7091,63.368421052631575
14,American Airlines,525,17.11046511627907,20.612966601178783,16,3.0476190476190474,588078,7616,70.72691552062868
15,American Airlines,553,64.93897637795276,70.25641025641026,46,8.318264014466546,603496,8169,46.35108481262327
16,American Airlines,519,61.492537313432834,66.4498933901919,50,9.633911368015415,577778,8688,43.070362473347544
17,American Airlines,534,38.18147448015123,36.74431818181818,6,1.1235955056179776,590687,9222,65.71969696969697
18,American Airlines,566,18.24113475177305,17.97340425531915,2,0.35335689045936397,621703,9788,76.95035460992908
19,American Airlines,565,36.86288848263254,40.11559633027523,20,3.5398230088495577,623173,10353,57.98165137614679
20,American Airlines,512,15.374509803921569,15.041176470588235,2,0.390625,574385,10865,77.84313725490196
21,American Airlines,565,20.25668449197861,20.046345811051694,4,0.7079646017699115,622345,11430,78.43137254901961
22,American Airlines,559,32.03107861060329,33.13711151736746,12,2.146690518783542,611935,11989,70.93235831809872
23,American Airlines,520,23.476833976833976,25.623552123552123,2,0.38461538461538464,578347,12509,71.23552123552123
24,American Airlines,534,23.333333333333332,24.77024482109228,3,0.5617977528089888,587854,13043,66.47834274952919
25,American Airlines,568,14.267605633802816,14.248239436619718,0,0.0,623043,13611,79.75352112676056
26,American Airlines,567,17.2,17.343362831858407,2,0.3527336860670194,625250,14178,75.75221238938053
27,American Airlines,513,13.96484375,14.357421875,1,0.1949317738791423,574761,14691,82.421875
28,American Airlines,565,15.325663716814159,15.260176991150443,0,0.0,621904,15256,78.40707964601769
29,American Airlines,561,10.438502673796792,9.918003565062389,0,0.0,614793,15817,85.91800356506238
30,American Airlines,523,10.944550669216062,11.936902485659656,0,0.0,587115,16340,85.46845124282983
31,American Airlines,534,11.883677298311445,11.699812382739212,1,0.18726591760299627,592414,16874,87.4296435272045
1,Delta Air Lines,2027,5.085841144548594,4.174728529121421,1,0.049333991119881605,2069454,2027,92.20138203356368
2,Delta Air Lines,2433,7.475955610357583,6.972872996300863,0,0.0,2439411,4460,88.82038635429511
3,Delta Air Lines,2287,6.468066491688539,5.851268591426072,1,0.043725404459991256,2269386,6747,91.38232720909886
4,Delta Air Lines,2299,4.803392779469334,4.24793388429752,0,0.0,2290946,9046,93.69290996085255
5,Delta Air Lines,2308,4.910745233968804,4.481802426343155,0,0.0,2299622,11354,93.93414211438474
6,Delta Air Lines,2232,10.588709677419354,11.346774193548388,0,0.0,2227964,13586,83.33333333333334
7,Delta Air Lines,2471,13.726609963547995,14.841507904337252,4,0.16187778227438285,2415477,16057,78.47588163761654
8,Delta Air Lines,2414,12.979261717129821,13.567634854771784,4,0.16570008285004142,2305922,18471,82.65560165975103
9,Delta Air Lines,2256,49.329131022062136,53.04383190239494,43,1.9060283687943262,2121337,20727,49.570718481699046
10,Delta Air Lines,2320,13.451977401129943,12.746631899174272,19,0.8189655172413793,2194016,23047,83.13776618861365
11,Delta Air Lines,2439,8.405749486652978,8.80279375513558,5,0.2050020500205002,2339491,25486,84.2645850451931
12,Delta Air Lines,2435,25.492314261315116,28.54873336195792,106,4.353182751540041,2324373,27921,70.28767711464148
13,Delta Air Lines,2139,29.16172248803828,31.127394636015325,51,2.3842917251051894,2098537,30060,66.57088122605363
14,Delta Air Lines,2188,27.005977011494252,26.471021159153633,14,0.6398537477148081,2131337,32248,67.06531738730452
15,Delta Air Lines,2568,36.80954323001631,38.374949000407995,117,4.55607476635514,2433595,34816,59.4859241126071
16,Delta Air Lines,2409,44.55518112889638,46.63617200674536,37,1.5359070153590701,2232754,37225,52.57166947723441
17,Delta Air Lines,2430,22.48283082077052,21.641509433962263,45,1.8518518518518516,2254976,39655,75.13626834381552
18,Delta Air Lines,2621,10.37691131498471,9.985474006116208,5,0.19076688286913393,2511898,42276,82.11009174311926
19,Delta Air Lines,2628,16.31773211567732,17.9337899543379,0,0.0,2520557,44904,72.14611872146118
20,Delta Air Lines,2146,8.214085820895523,7.598414179104478,2,0.09319664492078285,2095937,47050,87.54664179104478
21,Delta Air Lines,2613,12.343426600229973,10.949003067484663,5,0.19135093761959435,2503336,49663,84.24079754601227
22,Delta Air Lines,2593,12.559256390395042,12.189775367931835,11,0.4242190512919399,2464323,52256,84.54686289697909
23,Delta Air Lines,2420,8.968155500413564,8.969396195202647,2,0.08264462809917356,2244244,54676,87.42762613730356
24,Delta Air Lines,2436,10.749897330595482,11.296631059983566,2,0.08210180623973727,2265951,57112,83.97699260476583
25,Delta Air Lines,2613,13.211715160796325,13.40811638591118,1,0.03827018752391887,2507915,59725,80.7427258805513
26,Delta Air Lines,2630,7.2483834157474325,6.811335108406238,1,0.03802281368821293,2521356,62355,91.0612400152149
27,Delta Air Lines,2144,7.034981343283582,7.081156716417911,0,0.0,2095245,64499,89.41231343283582
28,Delta Air Lines,2609,10.425067075507858,10.726993865030675,1,0.038328861632809505,2495136,67108,83.58895705521472
